,cart_id,customer_id,product_id,product_amount,product_price
0,5,0,3,4,$22.95
1,0,8,1,16,$7.63
2,4,3,10,6,"$5,177.13"
3,10,10,1,14,$4.92
4,0,7,7,6,"$17,802.89"
5,9,9,2,2,"$2,792.06"
6,6,3,7,15,$2.23
7,0,10,1,11,$89.96
8,7,8,1,15,"$76,111.63"
9,7,8,7,10,$5.20
10,9,0,8,12,"$2,449.61"
11,5,2,7,5,$114.53
12,10,8,6,12,$8.56
13,4,10,6,20,"$6,119.40"
14,8,7,5,9,$5.99
15,3,9,3,11,$68.88
16,4,0,0,9,$95.59
17,9,10,9,13,$227.99
18,2,0,3,10,"$48,663.34"
19,6,4,7,16,"$71,230.47"
20,8,8,10,13,$1.19
21,1,2,4,17,$366.14
22,9,4,2,7,"$22,516.70"
23,4,8,7,6,$3.78
24,1,10,10,16,"$8,515.67"
25,0,4,0,1,"$5,435.32"
26,2,9,10,19,"$73,809.03"
27,3,5,4,4,$64.47
28,4,7,1,17,$1.49
29,8,8,3,4,"$38,888.34"
30,4,9,10,6,"$76,386.24"
31,7,9,8,20,$28.41
32,1,0,8,15,$25.64
33,6,9,0,20,$8.73
34,0,4,9,2,$39.60
35,3,4,6,1,$244.74
36,5,3,4,10,$918.90
37,7,5,8,11,"$3,668.00"
38,1,3,2,10,$582.48
39,6,3,10,18,$878.51
40,0,8,3,7,$69.62
41,0,1,0,2,$9.72
42,6,2,4,20,"$24,193.28"
43,8,6,4,20,$53.11
44,0,7,9,2,"$2,434.89"
45,7,6,9,9,$356.43
46,7,10,9,3,$2.57
47,9,2,6,4,$57.69
48,0,7,4,9,$7.54
49,8,7,10,19,"$32,043.69"
50,0,2,6,19,$4.00
51,10,9,2,1,"$5,521.61"
52,3,5,10,3,$1.39
53,5,1,6,8,$0.88
54,0,5,5,3,$3.17
55,10,6,6,14,"$19,350.61"
56,0,7,2,20,"$9,618.22"
57,5,5,6,9,"$56,401.27"
58,4,3,1,20,"$97,375.86"
59,1,6,5,4,$991.15
60,1,2,4,18,$85.48
61,3,6,0,16,"$59,080.54"
62,4,2,9,12,"$1,321.69"
63,2,3,1,10,$6.40
64,4,3,0,18,"$73,260.12"
65,10,3,2,16,"$6,452.70"
66,4,9,7,6,"$23,941.72"
67,3,3,3,4,$7.33
68,4,6,2,3,"$6,514.45"
69,10,8,0,9,"$4,635.04"
70,2,6,2,7,"$6,525.46"
71,10,8,4,7,$15.27
72,0,2,8,20,$242.38
73,8,2,7,15,"$7,435.57"
74,10,3,9,16,"$7,791.57"
75,9,0,7,18,$2.38
76,0,8,3,1,"$12,658.40"
77,5,7,5,7,$3.52
78,8,1,5,8,"$20,759.14"
79,2,10,10,11,"$18,592.50"
80,5,5,1,15,"$79,428.10"
81,0,7,7,13,"$8,438.13"
82,4,3,3,8,"$3,643.16"
83,9,10,7,4,$0.35
84,4,3,2,1,$103.50
85,8,4,5,3,"$10,028.89"
86,3,1,8,17,$377.02
87,2,0,1,4,$8.71
88,8,7,6,13,$97.69
89,9,8,9,3,$377.95
90,10,2,10,1,$2.78
91,0,5,10,2,$87.17
92,5,2,3,17,$5.77
93,7,4,2,1,$53.84
94,8,5,5,4,$4.20
95,8,9,2,8,$992.25
96,0,2,1,9,"$6,581.03"
97,0,2,7,15,$9.95
98,1,6,10,4,$3.03
99,8,7,10,7,$341.31
100,7,0,7,12,"$9,340.47"
101,8,7,9,16,$8.78
102,7,8,7,10,$4.27
103,10,1,7,5,"$70,078.94"
104,10,4,4,13,"$6,713.36"
105,3,6,9,18,$77.90
106,5,6,10,19,$85.37
107,7,10,0,13,$13.81
108,3,2,8,3,$9.74
109,1,2,4,16,"$46,518.65"
110,1,5,9,7,$9.91
111,10,4,6,2,$12.96
112,2,8,3,9,"$1,724.79"
113,1,2,8,11,$23.27
114,5,0,1,8,"$2,809.37"
115,4,1,4,3,"$1,470.47"
116,9,5,4,20,"$8,598.29"
117,0,2,9,3,$36.73
118,10,7,4,7,"$28,582.96"
119,8,6,8,3,$3.57
120,8,10,0,14,$41.21
121,8,5,8,5,$15.45
122,7,5,1,6,"$9,714.48"
123,0,6,8,8,$75.80
124,10,10,6,13,$758.95
125,2,4,4,4,"$2,580.22"
126,5,0,0,9,$21.22
127,8,7,10,1,$324.04
128,6,2,6,13,$25.20
129,0,5,1,1,$478.21
130,8,8,7,17,$1.92
131,7,4,10,2,"$74,104.31"
132,6,7,9,6,$392.73
133,8,5,5,12,$537.08
134,5,0,2,14,"$74,561.38"
135,6,10,5,6,$20.63
136,0,2,1,10,$9.31
137,2,4,9,20,"$2,250.34"
138,5,10,5,10,$239.91
139,1,5,4,7,$2.37
140,2,1,5,16,$156.86
141,4,2,2,8,$261.71
142,3,10,3,11,$868.25
143,8,8,3,9,"$5,899.24"
144,10,0,8,17,"$50,978.53"
145,5,9,2,1,$325.20
146,9,7,0,17,$69.00
147,5,4,3,13,$0.56
148,3,9,9,18,$689.57
149,5,2,3,19,"$44,759.37"
150,0,7,3,20,$7.42
151,3,8,8,17,"$1,782.16"
152,10,4,4,17,"$8,957.26"
153,1,0,9,9,"$9,854.03"
154,7,8,8,12,$6.27
155,7,6,8,4,$9.09
156,3,1,0,3,$3.80
157,1,10,9,1,$269.68
158,3,8,2,9,$269.68
159,5,8,9,3,$2.99
160,7,10,5,15,"$7,173.60"
161,10,0,4,9,$990.70
162,0,1,1,11,$872.57
163,2,6,2,3,"$8,051.02"
164,8,4,6,5,$22.67
165,0,9,2,6,"$5,476.39"
166,1,4,2,5,"$18,987.68"
167,0,6,1,18,"$8,322.33"
168,5,1,3,10,$16.27
169,9,8,2,3,$67.83
170,2,6,5,14,$474.08
171,4,7,10,14,"$64,348.80"
172,1,6,0,9,"$6,736.27"
173,10,4,0,19,$24.52
174,6,0,10,6,$556.38
175,1,5,2,17,"$8,819.89"
176,1,8,5,15,"$29,330.14"
177,8,5,5,2,"$9,158.21"
178,1,4,9,15,$818.97
179,1,7,7,19,$63.52
180,1,3,7,10,$71.73
181,4,0,6,10,$503.22
182,2,8,0,19,$71.28
183,3,7,8,16,"$59,859.16"
184,8,1,5,18,$0.54
185,3,7,0,12,$7.15
186,9,5,2,18,"$9,096.32"
187,7,8,0,3,"$12,133.51"
188,6,3,10,7,"$62,001.96"
189,4,3,0,5,"$20,782.44"
190,10,10,9,18,$10.75
191,0,4,9,20,$723.46
192,3,0,1,13,"$4,709.91"
193,2,1,3,7,$5.76
194,7,3,7,14,$238.25
195,0,10,0,7,$7.75
196,2,4,5,14,"$1,259.72"
197,10,9,4,5,$591.07
198,2,7,5,10,$9.82
199,9,3,0,19,"$9,578.13"
200,3,7,0,9,$4.27
201,7,7,6,4,"$3,367.89"
202,9,6,1,16,$84.47
203,9,1,2,14,"$5,501.71"
204,10,2,1,14,"$67,552.18"
205,3,7,3,4,$0.63
206,2,3,3,10,$15.17
207,0,6,10,1,$5.16
208,7,0,3,6,$320.06
209,0,3,3,20,$23.17
210,0,3,0,3,"$24,220.91"
211,10,3,1,16,"$3,112.12"
212,9,1,7,8,"$4,957.62"
213,6,9,2,17,"$80,023.01"
214,8,1,3,8,$52.55
215,10,3,6,16,$31.68
216,6,7,4,1,"$25,881.86"
217,10,1,2,19,"$12,108.25"
218,3,10,6,19,"$50,739.19"
219,3,5,9,12,"$39,744.72"
220,1,10,0,16,$15.75
221,3,4,1,10,"$84,513.86"
222,7,9,10,2,"$8,328.62"
223,10,2,9,18,$73.39
224,1,9,3,19,$1.64
225,2,9,10,10,"$35,907.11"
226,6,4,9,11,"$3,647.59"
227,1,9,3,20,$747.35
228,4,8,6,20,$30.91
229,4,1,9,13,"$5,376.22"
230,8,4,1,4,"$1,506.58"
231,8,8,9,18,"$6,484.39"
232,9,7,6,20,$701.41
233,4,0,6,1,$883.94
234,9,0,3,12,"$1,354.84"
235,3,3,0,9,$111.36
236,2,7,2,15,"$1,694.81"
237,5,6,5,19,"$89,332.27"
238,0,5,4,12,$3.22
239,8,1,1,5,$10.08
240,5,0,5,2,$105.91
241,4,3,7,14,"$3,835.21"
242,4,6,10,20,$370.43
243,2,7,10,16,"$42,332.92"
244,4,2,5,6,"$8,091.93"
245,0,10,5,4,$89.11
246,5,0,10,9,$844.94
247,8,1,4,18,$6.93
248,3,0,3,10,"$7,753.39"
249,0,4,4,9,$78.09
250,4,8,6,19,$51.84
251,1,3,4,15,"$8,100.45"
252,6,10,3,5,"$77,755.35"
253,0,4,5,2,$272.02
254,3,0,9,15,"$1,187.84"
255,2,0,5,16,$4.71
256,7,4,9,18,$553.16
257,3,6,5,9,$214.65
258,3,8,1,18,$55.76
259,0,8,0,17,$66.01
260,0,4,8,8,"$10,057.33"
261,9,5,9,15,"$3,442.68"
262,7,8,1,13,$25.80
263,10,6,0,15,$7.50
264,1,1,6,7,$406.06
265,10,3,9,1,$136.62
266,6,5,5,14,$902.58
267,0,3,6,4,"$37,714.40"
268,4,5,5,10,$7.66
269,1,6,3,3,$5.17
270,0,1,6,5,"$18,970.15"
271,4,9,1,6,"$7,137.59"
272,2,8,3,17,$456.77
273,5,9,2,12,$0.38
274,2,3,5,2,$77.29
275,8,9,6,5,"$76,227.54"
276,9,3,8,20,"$25,207.13"
277,4,5,3,9,"$69,651.93"
278,3,4,3,3,"$9,642.29"
279,7,4,2,18,$1.06
280,2,3,10,13,"$98,562.06"
281,4,9,10,5,"$6,941.54"
282,10,5,6,19,$52.65
283,3,10,2,7,$882.74
284,9,0,0,19,$604.36
285,3,8,3,4,$62.94
286,9,8,7,13,"$92,967.52"
287,8,3,6,1,$70.75
288,3,4,2,20,$25.91
289,1,10,2,13,$9.60
290,1,2,3,9,$91.72
291,2,8,9,17,$158.64
292,8,5,0,4,$25.41
293,8,1,7,5,$666.64
294,7,4,4,20,"$44,597.61"
